tconst	averageRating	numVotes
tt0000001	5.7	1893
tt0000002	5.9	253
tt0000003	6.5	1688
tt0000004	5.7	166
tt0000005	6.2	2504
tt0000006	5.1	170
tt0000007	5.4	783
tt0000008	5.4	2032
tt0000009	5.3	197
tt0000010	6.9	6849
tt0000011	5.3	352
tt0000012	7.4	11752
tt0000013	5.7	1814
tt0000014	7.1	5266
tt0000015	6.2	1013
tt0000016	5.9	1419
tt0000017	4.6	310
tt0000018	5.3	569
tt0000019	5.2	31
tt0000020	4.8	339
tt0000022	5.1	1052
tt0000023	5.7	1373
tt0000024	4.2	95
tt0000025	4.3	43
tt0000026	5.7	1479
tt0000027	5.6	1107
tt0000028	5.1	1022
tt0000029	5.9	3231
tt0000030	5.2	812
tt0000031	5.5	966
tt0000032	5.0	403
tt0000033	5.5	984
tt0000034	5.0	190
tt0000035	5.4	78
tt0000036	4.4	585
tt0000037	4.4	66
tt0000038	4.2	194
tt0000039	3.5	29
tt0000040	4.4	64
tt0000041	6.8	1745
tt0000042	4.1	37
tt0000043	4.1	32
tt0000044	3.9	45
tt0000045	4.4	32
tt0000046	4.0	34
tt0000047	3.5	34
tt0000048	4.9	185
tt0000049	5.0	47
tt0000050	4.1	34
tt0000051	3.6	34
tt0000052	4.3	96
tt0000053	2.7	18
tt0000054	4.8	34
tt0000055	3.6	30
tt0000056	3.1	22
tt0000057	4.8	33
tt0000058	4.7	32
tt0000059	3.5	27
tt0000060	7.5	85
tt0000061	4.5	24
tt0000062	6.4	192
tt0000063	3.4	27
tt0000064	3.2	28
tt0000065	3.4	28
tt0000066	3.3	28
tt0000067	5.7	61
tt0000068	3.7	31
tt0000069	4.9	433
tt0000070	6.4	2560
tt0000071	3.9	29
tt0000072	3.6	27
tt0000073	3.4	30
tt0000074	4.5	31
tt0000075	6.3	1835
tt0000076	4.5	514
tt0000077	4.4	34
tt0000078	3.8	75
tt0000079	4.7	35
tt0000080	3.9	31
tt0000081	4.0	32
tt0000082	4.7	47
tt0000083	4.5	32
tt0000084	4.3	30
tt0000085	4.5	32
tt0000086	4.1	33
tt0000087	4.5	37
tt0000088	4.1	32
tt0000089	6.3	966
tt0000090	3.9	31
tt0000091	6.7	3410
tt0000092	4.4	29
tt0000093	4.8	93
tt0000094	4.8	31
tt0000095	4.6	34
tt0000096	4.2	29
tt0000097	4.8	33
tt0000098	4.9	36
tt0000099	4.4	32
tt0000100	4.7	53
tt0000101	4.4	28
tt0000102	4.5	26
tt0000103	5.1	27
tt0000104	5.6	454
tt0000105	4.7	29
tt0000106	4.2	23
tt0000107	4.9	28
tt0000108	4.4	523
tt0000109	4.5	509
tt0000110	4.4	512
tt0000111	4.4	526
tt0000112	4.5	506
tt0000113	4.3	532
tt0000114	4.8	30
tt0000115	4.6	34
tt0000116	4.9	27
tt0000117	5.2	159
tt0000118	4.9	28
tt0000119	5.5	53
tt0000120	5.3	50
tt0000121	4.2	79
tt0000122	4.8	31
tt0000123	5.7	126
tt0000124	4.9	30
tt0000125	5.3	15
tt0000126	5.2	30
tt0000127	4.3	26
tt0000128	5.4	38
tt0000129	6.4	51
tt0000130	5.5	28
tt0000131	5.8	1325
tt0000132	5.1	1018
tt0000133	5.9	35
tt0000134	4.3	19
tt0000135	6.5	79
tt0000137	4.6	30
tt0000138	6.5	1071
tt0000139	5.3	24
tt0000140	4.9	282
tt0000141	5.2	92
tt0000142	4.7	28
tt0000143	4.9	248
tt0000144	5.2	301
tt0000145	3.9	13
tt0000146	5.1	26
tt0000147	5.2	446
tt0000148	3.7	14
tt0000149	4.6	21
tt0000150	5.4	157
tt0000151	4.9	57
tt0000152	6.1	243
tt0000153	5.7	422
tt0000154	4.1	13
tt0000155	5.1	28
tt0000156	3.8	23
tt0000157	4.1	15
tt0000158	3.5	15
tt0000159	5.3	118
tt0000160	5.3	26
tt0000161	3.9	14
tt0000162	5.4	456
tt0000163	5.1	13
tt0000164	5.0	290
tt0000165	4.6	120
tt0000166	3.8	18
tt0000167	4.0	134
tt0000168	3.5	16
tt0000169	3.8	45
tt0000170	5.2	243
tt0000171	4.5	14
tt0000172	6.1	864
tt0000173	4.9	44
tt0000174	4.6	126
tt0000175	5.0	211
tt0000176	5.5	13
tt0000177	4.6	236
tt0000178	5.2	172
tt0000179	4.5	40
tt0000181	6.8	59
tt0000182	4.9	533
tt0000183	6.0	35
tt0000184	4.9	315
tt0000186	4.2	21
tt0000187	4.9	53
tt0000188	4.0	11
tt0000190	4.9	140
tt0000192	4.6	182
tt0000194	5.4	83
tt0000196	5.2	27
tt0000197	4.4	19
tt0000198	4.4	19
tt0000199	4.3	13
tt0000204	5.7	13
tt0000205	5.2	29
tt0000206	5.0	12
tt0000207	5.5	12
tt0000208	5.7	544
tt0000209	4.7	28
tt0000210	4.9	31
tt0000211	7.5	4127
tt0000213	4.7	228
tt0000214	4.4	93
tt0000215	4.1	121
tt0000218	5.9	622
tt0000219	6.6	30
